channel_id,title,subscribers,description,keywords,canonical_url,collected_at,status,type,country
UCddiUEpeqJcYeBxX1IVBKvQ,,,"Welcome to the YouTube channel for TheVerge.com, a team of journalists that examines how technology will change life in the future. Subscribe for explainers, product reviews, technology news, and more.

Editorial Director: Kevin McShane
Supervising Producers:  Victoria Barrios, Travis Larchuk
Video ","""The Verge"" Verge Apple Google Microsoft Reviews Gadgets Technology Android iOS Phones Computers",,2026-03-15T12:14:40.664805,ok,AI,INT
UC9-y-6csu5WGm29I7JiwpnA,,,"Videos about computers & computer stuff. Supported by Jane Street - https://jane-st.co/computerphile
Sister channel of Numberphile. ","computer computerphile programming software hardware science ""Computer Science""",,2026-03-15T12:14:42.540824,ok,AI,UK
UCbmNph6atAoGfqLoCL_duAg,,,"Talks at Google is a leader in the corporate interview series space, providing a platform for influential thinkers, creators, makers and doers to tell us about their work, their lives and what drives them to shape our world.  We host talks virtually and physically across 30+ Google offices worldwide","authors politics economics musicians leaders chefs lectures google talks filmmakers books fiction nonfiction live music celebrity ""talks at google"" celebrities celebrity movies television keynote",,2026-03-15T12:14:45.606506,ok,AI,DE
UC4JX40jDee_tINbkjycV4Sg,,,"I'm Tim, a self-taught developer & entrepreneur who brings you educational tech content without the fluff and noise. I went from a broke dropout working at McDonalds to making $100k+/month as a developer, travelling the world and moving to Dubai all before the age of 22. I've since helped thousands ","""tech with tim"" ""python tutorials"" python ""python machine learning"" techwithtim ""python projects"" programming ""programming projects"" ""python machine learning"" pygame",,2026-03-15T12:14:48.010075,ok,AI,US
UCWX3yGbODI3HLNnFCNfQigA,,,,,,2026-03-15T12:14:50.032921,ok,AI,US
UCnUYZLuoy1rq1aVMwx4aTzw,,,"The official Chrome for Developers YouTube account from Google. We want to help you build beautiful, accessible, fast, & secure websites that work for everyone, everywhere.
",Google Chrome Developers Web CSS Frameworks,,2026-03-15T12:14:52.673439,ok,AI,KR
UCOLdTjPQIWVyCKmPuHPP4kA,,,,,,2026-03-15T12:14:55.244120,ok,AI,KR
UCEBcDOjv-bhAmLavMTrMdZQ,,,,,,2026-03-15T12:14:57.870961,ok,AI,US
UCXuqSBlHAE6Xw-yeJA0Tunw,,,"Linus Tech Tips is a passionate team of ""professionally curious"" experts in consumer technology and video production who aim to educate and entertain.

Sponsorship Inquiries: partnerships@linusmediagroup.com
",Unboxing Review Computer Hardware Motherboard Intel AMD NVIDIA gaming,,2026-03-15T12:15:01.388127,ok,Traditional,CA
UCBcRF18a7Qf58cCRy5xuWwQ,,,"Gartner delivers actionable, objective insight that drives smarter decisions and stronger performance on an organization’s mission-critical priorities.

Our unrivaled combination of expert-led, practitioner-sourced and data-driven research steers clients toward the right decisions on the issues that","Gartner ""Gartner For Marketers"" ""digital marketing"" ""digital strategy"" business ""brand strategy"" technology disruption ""tech news"" ""silicon valley"" market performance",,2026-03-15T12:15:03.729948,ok,Traditional,US
UC295-Dw4tzbADgNButmlKiA,,,,,,2026-03-15T12:15:05.777948,ok,Traditional,US
UCupvZG-5ko_eiXAupbDfxWw,,,"CNN is the world leader in news and information and seeks to inform, engage and empower the world. Staffed 24 hours, seven days a week by a dedicated team in CNN bureaus around the world, CNN delivers news from almost 4,000 journalists in every corner of the globe.
","CNN ""CNN News"" ""breaking news"" ""latest news"" ""US news"" ""world news"" ""international news"" politics ""US politics"" ""global politics"" ""White House"" Congress elections democracy immigration economy inflati",,2026-03-15T12:15:07.943286,ok,Traditional,US
UCaXkIU1QidjPwiAYu6GcHjg,,,"The official MS NOW YouTube Channel. MS NOW is the go-to destination for domestic and international breaking news, and best-in-class opinion journalism.
","msnbc politics ""rachel maddow"" ""lawrence o'donnell"" News politics ""Brian Williams"" ""Chris Hayes"" ""Morning Joe"" ""Stephanie Ruhle"" ""msnbc news"" ""live msnbc"" ""maddow msnbc"" maddow ""msnbc stream"" ""msnbc j",,2026-03-15T12:15:10.769401,ok,Traditional,KR
UCQMBxjbngN7lHIBg_BLBeCg,,,,,,2026-03-15T12:15:13.863314,ok,Traditional,KR
UCuVHo2rodCFBMlwNtkfpfzA,,,,,,2026-03-15T12:15:15.804538,ok,Traditional,KR
UCgeFcHbdqpOEqTAhgdmB_0g,,,,,,2026-03-15T12:15:17.891559,ok,Traditional,KR
